class_id,vertices,n_types,types,n_realizations,K,one_example_mu_to_lambda_per_type
10275,6,2,B2+C3,3,0,B2: (1 3) -> (3 6) ; C3: (5 3 1) -> (0 6 3)
10276,6,2,B2+C3,2,0,B2: (1 3) -> (4 6) ; C3: (6 3 1) -> (0 6 4)
10278,5,2,B2+C3,12,0,B2: (1 3) -> (6 0) ; C3: (2 3 1) -> (0 0 6)
10279,6,3,B2+B3+C3,8,1q^4 + 1q^5 + 1q^6 + 1q^7,B2: (1 3) -> (6 1) ; B3: (4 1 3) -> (0 6 1) ; C3: (3 3 1) -> (0 1 6)
10280,6,2,B2+C3,4,0,B2: (1 3) -> (6 2) ; C3: (4 3 1) -> (0 2 6)
10281,6,3,B2+B3+C3,5,2q^5 + 2q^6 + 2q^7 + 2q^8 + 1q^9 + 1q^10,B2: (1 3) -> (6 3) ; B3: (5 1 3) -> (0 6 3) ; C3: (5 3 1) -> (0 3 6)
10282,6,2,B2+C3,2,0,B2: (1 3) -> (6 4) ; C3: (6 3 1) -> (0 4 6)
10283,6,2,B2+B3,2,2q^6 + 3q^7 + 3q^8 + 3q^9 + 2q^10 + 2q^11 + 1q^12 + 1q^13,B2: (1 3) -> (6 5) ; B3: (6 1 3) -> (0 6 5)
10285,6,3,B2+B3+C3,8,2q^3 + 2q^4 + 2q^5 + 1q^6 + 1q^7,B2: (1 4) -> (3 6) ; B3: (3 1 4) -> (0 3 6) ; C3: (4 4 1) -> (0 6 3)
10286,6,3,B2+B3+C3,6,2q^4 + 3q^5 + 2q^6 + 2q^7 + 1q^8 + 1q^9,B2: (1 4) -> (4 6) ; B3: (4 1 4) -> (0 4 6) ; C3: (5 4 1) -> (0 6 4)
10287,6,3,B2+B3+C3,4,3q^5 + 3q^6 + 3q^7 + 2q^8 + 2q^9 + 1q^10 + 1q^11,B2: (1 4) -> (5 6) ; B3: (5 1 4) -> (0 5 6) ; C3: (6 4 1) -> (0 6 5)
10288,5,2,B2+C3,12,0,B2: (1 4) -> (6 1) ; C3: (2 4 1) -> (0 1 6)
10289,6,3,B2+B3+C3,8,1q^4 + 2q^5 + 1q^6 + 1q^7,B2: (1 4) -> (6 2) ; B3: (4 1 4) -> (0 6 2) ; C3: (3 4 1) -> (0 2 6)
10290,6,2,B2+C3,4,0,B2: (1 4) -> (6 3) ; C3: (4 4 1) -> (0 3 6)
10291,6,3,B2+B3+C3,5,2q^5 + 3q^6 + 2q^7 + 2q^8 + 1q^9 + 1q^10,B2: (1 4) -> (6 4) ; B3: (5 1 4) -> (0 6 4) ; C3: (5 4 1) -> (0 4 6)
10292,6,2,B2+C3,2,0,B2: (1 4) -> (6 5) ; C3: (6 4 1) -> (0 5 6)
10293,6,2,B2+B3,2,2q^6 + 4q^7 + 3q^8 + 3q^9 + 2q^10 + 2q^11 + 1q^12 + 1q^13,B2: (1 4) -> (6 6) ; B3: (6 1 4) -> (0 6 6)
10294,6,2,B2+C3,4,0,B2: (1 5) -> (4 6) ; C3: (4 5 1) -> (0 6 4)
10295,6,2,B2+C3,3,0,B2: (1 5) -> (5 6) ; C3: (5 5 1) -> (0 6 5)
10296,5,2,B2+C3,12,0,B2: (1 5) -> (6 2) ; C3: (2 5 1) -> (0 2 6)
10297,6,3,B2+B3+C3,8,2q^4 + 2q^5 + 1q^6 + 1q^7,B2: (1 5) -> (6 3) ; B3: (4 1 5) -> (0 6 3) ; C3: (3 5 1) -> (0 3 6)
10298,6,2,B2+C3,4,0,B2: (1 5) -> (6 4) ; C3: (4 5 1) -> (0 4 6)
10299,6,3,B2+B3+C3,5,3q^5 + 3q^6 + 2q^7 + 2q^8 + 1q^9 + 1q^10,B2: (1 5) -> (6 5) ; B3: (5 1 5) -> (0 6 5) ; C3: (5 5 1) -> (0 5 6)
10300,6,2,B2+C3,2,0,B2: (1 5) -> (6 6) ; C3: (6 5 1) -> (0 6 6)
10301,5,2,B2+C3,11,0,B2: (1 10) -> (5 9) ; C3: (3 6 1) -> (0 5 5)
10302,6,3,B2+B3+C3,7,3q^4 + 2q^5 + 2q^6 + 1q^7 + 1q^8,B2: (1 6) -> (5 6) ; B3: (4 1 6) -> (0 5 6) ; C3: (4 6 1) -> (0 6 5)
10303,4,2,B2+C3,54,0,B2: (1 10) -> (6 7) ; C3: (2 6 1) -> (0 3 6)
10304,6,3,B2+B3+C3,8,2q^4 + 2q^5 + 1q^6 + 1q^7,B2: (1 6) -> (6 4) ; B3: (4 1 6) -> (0 6 4) ; C3: (3 6 1) -> (0 4 6)
10305,6,2,B2+C3,4,0,B2: (1 6) -> (6 5) ; C3: (4 6 1) -> (0 5 6)
10306,6,3,B2+B3+C3,5,3q^5 + 3q^6 + 2q^7 + 2q^8 + 1q^9 + 1q^10,B2: (1 6) -> (6 6) ; B3: (5 1 6) -> (0 6 6) ; C3: (5 6 1) -> (0 6 6)
10307,6,3,B2+B3+C3,10,1q^3 + 1q^5,B2: (2 0) -> (0 6) ; B3: (1 2 0) -> (0 0 6) ; C3: (4 0 2) -> (0 6 0)
10308,6,3,B2+B3+C3,8,1q^3 + 1q^4 + 1q^5 + 1q^6 + 1q^7,B2: (2 0) -> (1 6) ; B3: (2 2 0) -> (0 1 6) ; C3: (5 0 2) -> (0 6 1)
10309,6,3,B2+B3+C3,6,1q^3 + 1q^4 + 2q^5 + 1q^6 + 2q^7 + 1q^8 + 1q^9,B2: (2 0) -> (2 6) ; B3: (3 2 0) -> (0 2 6) ; C3: (6 0 2) -> (0 6 2)
10310,6,2,B2+B3,4,2q^5 + 2q^6 + 2q^7 + 2q^8 + 2q^9 + 1q^10 + 1q^11,B2: (2 0) -> (3 6) ; B3: (4 2 0) -> (0 3 6)
10311,6,2,B2+B3,3,1q^5 + 1q^6 + 3q^7 + 2q^8 + 3q^9 + 2q^10 + 2q^11 + 1q^12 + 1q^13,B2: (2 0) -> (4 6) ; B3: (5 2 0) -> (0 4 6)
10312,6,2,B2+B3,2,2q^7 + 2q^8 + 3q^9 + 3q^10 + 3q^11 + 2q^12 + 2q^13 + 1q^14 + 1q^15,B2: (2 0) -> (5 6) ; B3: (6 2 0) -> (0 5 6)
10313,6,3,B2+B3+C3,7,1q^4 + 1q^6 + 1q^8,B2: (2 0) -> (6 0) ; B3: (4 2 0) -> (0 6 0) ; C3: (4 0 2) -> (0 0 6)
10314,6,2,B2+C3,3,0,B2: (2 0) -> (6 1) ; C3: (5 0 2) -> (0 1 6)
10315,6,3,B2+B3+C3,4,1q^5 + 1q^6 + 2q^7 + 1q^8 + 2q^9 + 1q^10 + 1q^11,B2: (2 0) -> (6 2) ; B3: (5 2 0) -> (0 6 2) ; C3: (6 0 2) -> (0 2 6)
10317,6,2,B2+B3,2,1q^6 + 1q^7 + 3q^8 + 2q^9 + 3q^10 + 2q^11 + 2q^12 + 1q^13 + 1q^14,B2: (2 0) -> (6 4) ; B3: (6 2 0) -> (0 6 4)
10320,6,2,B2+C3,4,0,B2: (2 1) -> (1 6) ; C3: (4 1 2) -> (0 6 1)
10321,6,2,B2+C3,3,0,B2: (2 1) -> (2 6) ; C3: (5 1 2) -> (0 6 2)
10322,6,2,B2+C3,2,0,B2: (2 1) -> (3 6) ; C3: (6 1 2) -> (0 6 3)
10325,5,2,B2+C3,11,0,B2: (2 1) -> (6 0) ; C3: (3 1 2) -> (0 0 6)
10326,6,3,B2+B3+C3,7,1q^4 + 1q^5 + 1q^6 + 1q^7 + 1q^8,B2: (2 1) -> (6 1) ; B3: (4 2 1) -> (0 6 1) ; C3: (4 1 2) -> (0 1 6)
10327,6,2,B2+C3,3,0,B2: (2 1) -> (6 2) ; C3: (5 1 2) -> (0 2 6)
10328,6,3,B2+B3+C3,4,1q^5 + 2q^6 + 2q^7 + 2q^8 + 2q^9 + 1q^10 + 1q^11,B2: (2 1) -> (6 3) ; B3: (5 2 1) -> (0 6 3) ; C3: (6 1 2) -> (0 3 6)
10330,6,2,B2+B3,2,1q^6 + 2q^7 + 3q^8 + 3q^9 + 3q^10 + 2q^11 + 2q^12 + 1q^13 + 1q^14,B2: (2 1) -> (6 5) ; B3: (6 2 1) -> (0 6 5)
10332,6,3,B2+B3+C3,9,1q^2 + 1q^3 + 2q^4 + 1q^5 + 1q^6,B2: (2 2) -> (2 6) ; B3: (2 2 2) -> (0 2 6) ; C3: (4 2 2) -> (0 6 2)
10333,6,3,B2+B3+C3,7,1q^3 + 2q^4 + 2q^5 + 2q^6 + 1q^7 + 1q^8,B2: (2 2) -> (3 6) ; B3: (3 2 2) -> (0 3 6) ; C3: (5 2 2) -> (0 6 3)
10334,6,3,B2+B3+C3,5,2q^4 + 2q^5 + 3q^6 + 2q^7 + 2q^8 + 1q^9 + 1q^10,B2: (2 2) -> (4 6) ; B3: (4 2 2) -> (0 4 6) ; C3: (6 2 2) -> (0 6 4)
10335,6,2,B2+B3,3,1q^5 + 3q^6 + 3q^7 + 3q^8 + 2q^9 + 2q^10 + 1q^11 + 1q^12,B2: (2 2) -> (5 6) ; B3: (5 2 2) -> (0 5 6)
10336,5,2,B2+C3,11,0,B2: (2 2) -> (6 1) ; C3: (3 2 2) -> (0 1 6)
10337,6,3,B2+B3+C3,7,2q^4 + 1q^5 + 2q^6 + 1q^7 + 1q^8,B2: (2 2) -> (6 2) ; B3: (4 2 2) -> (0 6 2) ; C3: (4 2 2) -> (0 2 6)
10338,6,2,B2+C3,3,0,B2: (2 2) -> (6 3) ; C3: (5 2 2) -> (0 3 6)
10339,6,3,B2+B3+C3,4,2q^5 + 2q^6 + 3q^7 + 2q^8 + 2q^9 + 1q^10 + 1q^11,B2: (2 2) -> (6 4) ; B3: (5 2 2) -> (0 6 4) ; C3: (6 2 2) -> (0 4 6)
10341,6,2,B2+B3,2,2q^6 + 2q^7 + 4q^8 + 3q^9 + 3q^10 + 2q^11 + 2q^12 + 1q^13 + 1q^14,B2: (2 2) -> (6 6) ; B3: (6 2 2) -> (0 6 6)
10342,6,2,B2+C3,4,0,B2: (2 3) -> (3 6) ; C3: (4 3 2) -> (0 6 3)
10343,6,2,B2+C3,3,0,B2: (2 3) -> (4 6) ; C3: (5 3 2) -> (0 6 4)
10344,6,2,B2+C3,2,0,B2: (2 3) -> (5 6) ; C3: (6 3 2) -> (0 6 5)
10345,5,2,B2+C3,11,0,B2: (2 3) -> (6 2) ; C3: (3 3 2) -> (0 2 6)
10346,6,3,B2+B3+C3,7,2q^4 + 2q^5 + 2q^6 + 1q^7 + 1q^8,B2: (2 3) -> (6 3) ; B3: (4 2 3) -> (0 6 3) ; C3: (4 3 2) -> (0 3 6)
10347,6,2,B2+C3,3,0,B2: (2 3) -> (6 4) ; C3: (5 3 2) -> (0 4 6)
10348,6,3,B2+B3+C3,4,2q^5 + 3q^6 + 3q^7 + 2q^8 + 2q^9 + 1q^10 + 1q^11,B2: (2 3) -> (6 5) ; B3: (5 2 3) -> (0 6 5) ; C3: (6 3 2) -> (0 5 6)
10350,6,3,B2+B3+C3,8,2q^3 + 2q^4 + 2q^5 + 1q^6 + 1q^7,B2: (2 4) -> (4 6) ; B3: (3 2 4) -> (0 4 6) ; C3: (4 4 2) -> (0 6 4)
10351,6,3,B2+B3+C3,6,2q^4 + 3q^5 + 2q^6 + 2q^7 + 1q^8 + 1q^9,B2: (2 4) -> (5 6) ; B3: (4 2 4) -> (0 5 6) ; C3: (5 4 2) -> (0 6 5)
10352,5,2,B2+C3,11,0,B2: (2 4) -> (6 3) ; C3: (3 4 2) -> (0 3 6)
10353,6,3,B2+B3+C3,7,3q^4 + 2q^5 + 2q^6 + 1q^7 + 1q^8,B2: (2 4) -> (6 4) ; B3: (4 2 4) -> (0 6 4) ; C3: (4 4 2) -> (0 4 6)
10354,6,2,B2+C3,3,0,B2: (2 4) -> (6 5) ; C3: (5 4 2) -> (0 5 6)
10355,6,3,B2+B3+C3,4,3q^5 + 3q^6 + 3q^7 + 2q^8 + 2q^9 + 1q^10 + 1q^11,B2: (2 4) -> (6 6) ; B3: (5 2 4) -> (0 6 6) ; C3: (6 4 2) -> (0 6 6)
10356,6,2,B2+C3,4,0,B2: (2 5) -> (5 6) ; C3: (4 5 2) -> (0 6 5)
10357,5,2,B2+C3,11,0,B2: (2 5) -> (6 4) ; C3: (3 5 2) -> (0 4 6)
10358,6,3,B2+B3+C3,7,3q^4 + 2q^5 + 2q^6 + 1q^7 + 1q^8,B2: (2 5) -> (6 5) ; B3: (4 2 5) -> (0 6 5) ; C3: (4 5 2) -> (0 5 6)
10359,6,2,B2+C3,3,0,B2: (2 5) -> (6 6) ; C3: (5 5 2) -> (0 6 6)
10360,4,2,B2+C3,53,0,B2: (2 10) -> (6 9) ; C3: (3 6 2) -> (0 5 6)
10361,6,3,B2+B3+C3,7,3q^4 + 2q^5 + 2q^6 + 1q^7 + 1q^8,B2: (2 6) -> (6 6) ; B3: (4 2 6) -> (0 6 6) ; C3: (4 6 2) -> (0 6 6)
10362,2,3,B2+B3+C3,142,1q^3,B2: (10 0) -> (7 6) ; B3: (0 3 0) -> (0 0 6) ; C3: (0 3 0) -> (6 0 0)
10363,5,3,B2+B3+C3,46,1q^3 + 1q^4 + 1q^5,B2: (10 0) -> (8 6) ; B3: (1 3 0) -> (0 1 6) ; C3: (4 0 3) -> (0 6 1)
10364,6,3,B2+B3+C3,8,1q^3 + 1q^4 + 2q^5 + 1q^6 + 1q^7,B2: (3 0) -> (2 6) ; B3: (2 3 0) -> (0 2 6) ; C3: (5 0 3) -> (0 6 2)
10365,6,3,B2+B3+C3,6,1q^3 + 1q^4 + 2q^5 + 2q^6 + 2q^7 + 1q^8 + 1q^9,B2: (3 0) -> (3 6) ; B3: (3 3 0) -> (0 3 6) ; C3: (6 0 3) -> (0 6 3)
10366,6,2,B2+B3,4,2q^5 + 2q^6 + 3q^7 + 2q^8 + 2q^9 + 1q^10 + 1q^11,B2: (3 0) -> (4 6) ; B3: (4 3 0) -> (0 4 6)
10367,6,2,B2+B3,3,1q^5 + 1q^6 + 3q^7 + 3q^8 + 3q^9 + 2q^10 + 2q^11 + 1q^12 + 1q^13,B2: (3 0) -> (5 6) ; B3: (5 3 0) -> (0 5 6)
10368,5,2,B2+C3,10,0,B2: (3 0) -> (6 1) ; C3: (4 0 3) -> (0 1 6)
