class_id,crosses_families,type,mu,lambda
1,1,A2,12 6,12 6
1,1,A2,12 7,12 7
1,1,A2,12 8,12 8
1,1,A2,12 9,12 9
1,1,A2,2 0,2 0
1,1,A2,2 10,2 10
1,1,A2,2 11,2 11
1,1,A2,2 12,2 12
1,1,A2,2 1,2 1
1,1,A2,2 2,2 2
1,1,A2,2 3,2 3
1,1,A2,2 4,2 4
1,1,A2,2 5,2 5
1,1,A2,2 6,2 6
1,1,A2,2 7,2 7
1,1,A2,2 8,2 8
1,1,A2,2 9,2 9
1,1,A2,3 0,3 0
1,1,A2,3 10,3 10
1,1,A2,3 11,3 11
1,1,A2,3 12,3 12
1,1,A2,3 1,3 1
1,1,A2,3 2,3 2
1,1,A2,3 3,3 3
1,1,A2,3 4,3 4
1,1,A2,3 5,3 5
1,1,A2,3 6,3 6
1,1,A2,3 7,3 7
1,1,A2,3 8,3 8
1,1,A2,3 9,3 9
1,1,A2,4 0,4 0
1,1,A2,4 10,4 10
1,1,A2,4 11,4 11
1,1,A2,4 12,4 12
1,1,A2,4 1,4 1
1,1,A2,4 2,4 2
1,1,A2,4 3,4 3
1,1,A2,4 4,4 4
1,1,A2,4 5,4 5
1,1,A2,4 6,4 6
1,1,A2,4 7,4 7
1,1,A2,4 8,4 8
1,1,A2,4 9,4 9
1,1,A2,5 0,5 0
1,1,A2,5 10,5 10
1,1,A2,5 11,5 11
1,1,A2,5 12,5 12
1,1,A2,5 1,5 1
1,1,A2,5 2,5 2
1,1,A2,5 3,5 3
1,1,A2,5 4,5 4
1,1,A2,5 5,5 5
1,1,A2,5 6,5 6
1,1,A2,5 7,5 7
1,1,A2,5 8,5 8
1,1,A2,5 9,5 9
1,1,A2,6 0,6 0
1,1,A2,6 10,6 10
1,1,A2,6 11,6 11
1,1,A2,6 12,6 12
1,1,A2,6 1,6 1
1,1,A2,6 2,6 2
1,1,A2,6 3,6 3
1,1,A2,6 4,6 4
1,1,A2,6 5,6 5
1,1,A2,6 6,6 6
1,1,A2,6 7,6 7
1,1,A2,6 8,6 8
1,1,A2,6 9,6 9
1,1,A2,7 0,7 0
1,1,A2,7 10,7 10
1,1,A2,7 11,7 11
1,1,A2,7 12,7 12
1,1,A2,7 1,7 1
1,1,A2,7 2,7 2
1,1,A2,7 3,7 3
1,1,A2,7 4,7 4
1,1,A2,7 5,7 5
1,1,A2,7 6,7 6
1,1,A2,7 7,7 7
1,1,A2,7 8,7 8
1,1,A2,7 9,7 9
1,1,A2,8 0,8 0
1,1,A2,8 10,8 10
1,1,A2,8 11,8 11
1,1,A2,8 12,8 12
1,1,A2,8 1,8 1
1,1,A2,8 2,8 2
1,1,A2,8 3,8 3
1,1,A2,8 4,8 4
1,1,A2,8 5,8 5
1,1,A2,8 6,8 6
1,1,A2,8 7,8 7
1,1,A2,8 8,8 8
1,1,A2,8 9,8 9
1,1,A2,9 0,9 0
1,1,A2,9 10,9 10
1,1,A2,9 11,9 11
1,1,A2,9 12,9 12
1,1,A2,9 1,9 1
1,1,A2,9 2,9 2
1,1,A2,9 3,9 3
1,1,A2,9 4,9 4
1,1,A2,9 5,9 5
1,1,A2,9 6,9 6
1,1,A2,9 7,9 7
1,1,A2,9 8,9 8
1,1,A2,9 9,9 9
1,1,A3,0 0 0,0 0 0
1,1,A3,0 0 1,0 0 1
1,1,A3,0 0 2,0 0 2
1,1,A3,0 0 3,0 0 3
1,1,A3,0 0 4,0 0 4
1,1,A3,0 0 5,0 0 5
1,1,A3,0 0 6,0 0 6
1,1,A3,0 0 7,0 0 7
1,1,A3,0 0 8,0 0 8
1,1,A3,0 1 0,0 1 0
1,1,A3,0 1 1,0 1 1
1,1,A3,0 1 2,0 1 2
1,1,A3,0 1 3,0 1 3
1,1,A3,0 1 4,0 1 4
1,1,A3,0 1 5,0 1 5
1,1,A3,0 1 6,0 1 6
1,1,A3,0 1 7,0 1 7
1,1,A3,0 1 8,0 1 8
1,1,A3,0 2 0,0 2 0
1,1,A3,0 2 1,0 2 1
1,1,A3,0 2 2,0 2 2
1,1,A3,0 2 3,0 2 3
1,1,A3,0 2 4,0 2 4
1,1,A3,0 2 5,0 2 5
1,1,A3,0 2 6,0 2 6
1,1,A3,0 2 7,0 2 7
1,1,A3,0 2 8,0 2 8
1,1,A3,0 3 0,0 3 0
1,1,A3,0 3 1,0 3 1
1,1,A3,0 3 2,0 3 2
1,1,A3,0 3 3,0 3 3
1,1,A3,0 3 4,0 3 4
1,1,A3,0 3 5,0 3 5
1,1,A3,0 3 6,0 3 6
1,1,A3,0 3 7,0 3 7
1,1,A3,0 3 8,0 3 8
1,1,A3,0 4 0,0 4 0
1,1,A3,0 4 1,0 4 1
1,1,A3,0 4 2,0 4 2
1,1,A3,0 4 3,0 4 3
1,1,A3,0 4 4,0 4 4
1,1,A3,0 4 5,0 4 5
1,1,A3,0 4 6,0 4 6
1,1,A3,0 4 7,0 4 7
1,1,A3,0 4 8,0 4 8
1,1,A3,0 5 0,0 5 0
1,1,A3,0 5 1,0 5 1
1,1,A3,0 5 2,0 5 2
1,1,A3,0 5 3,0 5 3
1,1,A3,0 5 4,0 5 4
1,1,A3,0 5 5,0 5 5
1,1,A3,0 5 6,0 5 6
1,1,A3,0 5 7,0 5 7
1,1,A3,0 5 8,0 5 8
1,1,A3,0 6 0,0 6 0
1,1,A3,0 6 1,0 6 1
1,1,A3,0 6 2,0 6 2
1,1,A3,0 6 3,0 6 3
1,1,A3,0 6 4,0 6 4
1,1,A3,0 6 5,0 6 5
1,1,A3,0 6 6,0 6 6
1,1,A3,0 6 7,0 6 7
1,1,A3,0 6 8,0 6 8
1,1,A3,0 7 0,0 7 0
1,1,A3,0 7 1,0 7 1
1,1,A3,0 7 2,0 7 2
1,1,A3,0 7 3,0 7 3
1,1,A3,0 7 4,0 7 4
1,1,A3,0 7 5,0 7 5
1,1,A3,0 7 6,0 7 6
1,1,A3,0 7 7,0 7 7
1,1,A3,0 7 8,0 7 8
1,1,A3,0 8 0,0 8 0
1,1,A3,0 8 1,0 8 1
1,1,A3,0 8 2,0 8 2
1,1,A3,0 8 3,0 8 3
1,1,A3,0 8 4,0 8 4
1,1,A3,0 8 5,0 8 5
1,1,A3,0 8 6,0 8 6
1,1,A3,0 8 7,0 8 7
1,1,A3,0 8 8,0 8 8
1,1,A3,1 0 0,1 0 0
1,1,A3,1 0 1,1 0 1
1,1,A3,1 0 2,1 0 2
1,1,A3,1 0 3,1 0 3
1,1,A3,1 0 4,1 0 4
1,1,A3,1 0 5,1 0 5
1,1,A3,1 0 6,1 0 6
